source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0070062,extracellular exosome,2.8049189319355947e-25,True,"""A vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm."" [GOC:BHF, GOC:mah, GOC:vesicles, PMID:15908444, PMID:17641064, PMID:19442504, PMID:19498381, PMID:22418571, PMID:24009894]",2178,362,119,18964,0.3287292817679558,0.05463728191000918,query_1,"['GO:0005615', 'GO:1903561']"
GO:CC,GO:1903561,extracellular vesicle,8.875031933249879e-24,True,"""Any vesicle that is part of the extracellular region."" [GO_REF:0000064, GOC:pm, GOC:TermGenie, PMID:24769233]",2263,362,119,18964,0.3287292817679558,0.052585064074237735,query_1,"['GO:0031982', 'GO:0065010']"
GO:CC,GO:0065010,extracellular membrane-bounded organelle,9.604802942206141e-24,True,"""Organized structure of distinctive morphology and function, bounded by a lipid bilayer membrane and occurring outside the cell."" [GOC:isa_complete]",2265,362,119,18964,0.3287292817679558,0.052538631346578366,query_1,"['GO:0043227', 'GO:0043230']"
GO:CC,GO:0043230,extracellular organelle,9.604802942206141e-24,True,"""Organized structure of distinctive morphology and function, occurring outside the cell. Includes, for example, extracellular membrane vesicles (EMVs) and the cellulosomes of anaerobic bacteria and fungi."" [GOC:jl, PMID:9914479]",2265,362,119,18964,0.3287292817679558,0.052538631346578366,query_1,"['GO:0005576', 'GO:0043226']"
GO:CC,GO:0005615,extracellular space,1.5797234776869197e-18,True,"""That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."" [ISBN:0198547684]",3595,362,145,18964,0.4005524861878453,0.04033379694019471,query_1,"['GO:0005576', 'GO:0110165']"
GO:CC,GO:0031982,vesicle,1.0758454294579924e-15,True,"""Any small, fluid-filled, spherical organelle enclosed by membrane."" [GOC:mah, GOC:pz, GOC:vesicles]",4058,362,150,18964,0.4143646408839779,0.03696402168555939,query_1,['GO:0043227']
GO:CC,GO:0045177,apical part of cell,1.2453802248018735e-15,True,"""The region of a polarized cell that forms a tip or is distal to a base. For example, in a polarized epithelial cell, the apical region has an exposed surface and lies opposite to the basal lamina that separates the epithelium from other tissue."" [GOC:mah, ISBN:0815316194]",433,362,42,18964,0.11602209944751381,0.09699769053117784,query_1,['GO:0110165']
GO:CC,GO:0005576,extracellular region,6.4087649734555495e-15,True,"""The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."" [GOC:go_curators]",4564,362,160,18964,0.4419889502762431,0.035056967572304996,query_1,['GO:0110165']
GO:CC,GO:0016324,apical plasma membrane,1.937314599965373e-13,True,"""The region of the plasma membrane located at the apical end of the cell."" [GOC:curators]",364,362,36,18964,0.09944751381215469,0.0989010989010989,query_1,"['GO:0045177', 'GO:0098590']"
GO:CC,GO:0098590,plasma membrane region,7.2181856716091135e-12,True,"""A membrane that is a (regional) part of the plasma membrane."" [GOC:dos]",1240,362,66,18964,0.18232044198895028,0.0532258064516129,query_1,"['GO:0005886', 'GO:0016020']"
