"name","length","count_1","rpkm_1","count_2","rpkm_2","count_900","rpkm_900"
"total",79966602,16628819,12.505220616977073,17620841.5,12.505220616977073,18131794.919433508,12.505220616977073
"ENSG00000000003",4071,743,10.975551,743,10.357646,743,10.065768
"ENSG00000000005",1339,137,6.152882,137,5.8064857,137,5.642859
"ENSG00000000419",1185,759,38.51785,759,36.34936,759,35.32504
"ENSG00000000457",6794,187,1.655216,187,1.5620302,187,1.5180122
"ENSG00000000460",4848,172,2.1335578,172,2.0134423,172,1.9567035
"ENSG00000000938",3167,47,0.8924592,47,0.84221536,47,0.81848174
"ENSG00000000971",4376,451,6.197804,466.5,6.049893,466.5,5.879407
"ENSG00000001036",2793,225,4.8445134,225,4.571776,225,4.4429436
"ENSG00000001084",5758,408,4.2611527,408,4.0212574,408,3.9079382
"ENSG00000001167",3811,1817,28.671774,1817,27.057604,1817,26.295122
"ENSG00000001460",3648,173,2.851871,173,2.6913157,173,2.6154745
"ENSG00000001461",8619,575,4.011895,575,3.7860324,575,3.679342
"ENSG00000001497",2828,1131,24.050371,1131,22.696379,1131,22.056795
"ENSG00000001561",4651,75,0.969736,75,0.9151416,75,0.8893529
"ENSG00000001617",4456,149,2.01085,149,1.8976427,149,1.8441672
"ENSG00000001626",6738,128,1.1423984,128,1.0780833,128,1.0477029
"ENSG00000001629",6136,570,5.5863495,570,5.2718477,570,5.123287
"ENSG00000001630",3838,1331,20.855072,1406.5,20.797356,1419.8334,20.402885
"ENSG00000001631",5140,764,8.938586,765,8.446401,765,8.208382
"ENSG00000002016",3739,149,2.3964558,149,2.2615395,149,2.1978092
"ENSG00000002330",1530,516,20.281351,520,19.287914,520,18.74438
"ENSG00000002549",2213,693,18.83174,703,18.027988,703,17.51996
"ENSG00000002586",2266,6405,169.98,6439,161.26193,6439,156.71758
"ENSG00000002587",8166,191,1.406574,191,1.3273864,191,1.2899806
"ENSG00000002726",3685,0,0,0,0,0,0
"ENSG00000002745",3261,136,2.5079951,136,2.3667996,136,2.3001032
"ENSG00000002746",9599,11,0.06891365,11,0.065033935,11,0.063201286
"ENSG00000002822",4946,1441,17.52058,1448,16.614521,1448,16.146324
"ENSG00000002834",6024,8939,89.23651,8966,84.46701,8966.667,82.092834
"ENSG00000002919",2969,181,3.6661224,181,3.4597263,181,3.3622313
"ENSG00000002933",1668,36,1.2979114,36,1.2248412,36,1.1903253
"ENSG00000003056",3438,990,17.31681,1086,17.926575,1086,17.421404
"ENSG00000003096",6983,37,0.31863853,37,0.30069974,37,0.29222602
"ENSG00000003137",5015,73,0.8753677,73,0.82608604,73,0.802807
"ENSG00000003147",3511,106,1.8155726,106,1.7133591,106,1.6650767
"ENSG00000003249",3261,99,1.825673,99,1.7228909,99,1.6743398
"ENSG00000003393",8220,779,5.6990733,779,5.3782253,779,5.226667
"ENSG00000003400",6688,85,0.7642954,85,0.7212669,85,0.7009416
"ENSG00000003402",21429,696,1.9531964,705,1.8670698,710.2,1.8278391
"ENSG00000003436",4719,1490,18.98781,1490,17.918829,1490,17.413877
"ENSG00000003509",2399,182,4.562257,182,4.30541,182,4.1840835
"ENSG00000003756",5511,4905,53.52383,4908,50.541428,4908,49.117172
"ENSG00000003987",4353,49,0.6769335,49,0.63882333,49,0.6208213
"ENSG00000003989",7905,476,3.6211264,476,3.4172633,476,3.3209648
"ENSG00000004059",1103,489,26.660725,489,25.159773,489,24.450771
"ENSG00000004139",10490,936,5.365855,936,5.063767,936,4.92107
"ENSG00000004142",2121,946,26.82187,958,25.632927,958,24.910591
"ENSG00000004399",7117,2383,20.13565,2383,19.002048,2384.5,18.478195
"ENSG00000004455",4479,984,13.211515,1061.5,13.449691,1063.8334,13.09941
"ENSG00000004468",5668,7,0.07426886,7,0.07008766,7,0.06811259
"ENSG00000004478",4258,7552,106.65836,7565,100.82695,7567,98.01156
"ENSG00000004487",3147,5279,100.87731,5279,95.1981,5279,92.51542
"ENSG00000004534",4616,3840,50.02695,3842,47.235107,3842,45.904026
"ENSG00000004660",4479,169,2.2690508,169,2.1413074,169,2.0809653
"ENSG00000004700",3778,499,7.942865,513,7.7059956,513,7.488841
"ENSG00000004766",6648,161,1.4563758,161,1.3743844,161,1.3356543
"ENSG00000004776",1722,388,13.549933,388,12.787096,388,12.426756
"ENSG00000004777",4401,188,2.5688875,190,2.4500537,190,2.3810112
"ENSG00000004779",1390,487,21.06943,487,19.883257,487,19.322947
"ENSG00000004799",3576,662,11.132664,662,10.505914,662,10.209858
"ENSG00000004809",2798,0,0,0,0,0,0
"ENSG00000004838",2982,26,0.5243295,26,0.49481067,26,0.48086694
"ENSG00000004846",7897,0,0,0,0,0,0
"ENSG00000004848",2959,17,0.3454956,17,0.32604483,17,0.3168569
"ENSG00000004864",3193,405,7.6277194,405,7.198292,405,6.9954443
"ENSG00000004866",5782,497,5.169123,497,4.878111,497,4.740646
"ENSG00000004897",5819,947,9.786789,969,9.450369,973.7,9.228604
"ENSG00000004939",4965,9,0.10900887,9,0.102871865,9,0.09997294
"ENSG00000004948",3992,5,0.07532135,5,0.071080886,5,0.06907783
"ENSG00000004961",2335,189,4.8675847,189,4.5935483,189,4.4641023
"ENSG00000004975",3144,960,18.362309,960,17.328543,961.3333,16.863615
"ENSG00000005001",1386,6,0.26033142,6,0.24567524,6,0.23875211
"ENSG00000005007",5381,1886,21.077412,1893,19.964617,1897,19.443012
"ENSG00000005020",4218,255,3.6355674,255,3.4308913,255,3.334209
"ENSG00000005022",1274,1227,57.918022,1231.5,54.857796,1231.5,53.311905
"ENSG00000005059",2278,35,0.9239595,35,0.87194216,35,0.84737086
"ENSG00000005073",2307,60,1.5640198,60,1.4759682,60,1.4343755
"ENSG00000005075",1355,943,41.851498,967,40.500515,1214.25,49.42288
"ENSG00000005100",5618,415,4.4422703,415,4.1921782,415,4.074043
"ENSG00000005102",2707,209,4.642978,209,4.3815866,209,4.2581134
"ENSG00000005108",10669,178,1.0033094,178,0.94682485,178,0.92014337
"ENSG00000005156",8578,936,6.5618815,943,6.2387705,944.6667,6.073678
"ENSG00000005175",4370,866,11.917223,866,11.246304,866,10.929383
"ENSG00000005187",4081,50,0.7367871,50,0.69530725,50,0.67571354
"ENSG00000005189",3338,163,2.9365666,163,2.771243,163,2.6931496
"ENSG00000005194",2209,414,11.270501,429,11.021354,429,10.7107725
"ENSG00000005206",5131,263,3.0824237,269,2.975251,269,2.8914087
"ENSG00000005238",6165,222,2.1655016,222.5,2.04819,222.5,1.9904723
"ENSG00000005243",1438,574,24.00444,574,22.653032,574,22.014671
"ENSG00000005249",3745,1104,17.72784,1104,16.729795,1104,16.25835
"ENSG00000005302",5026,358,4.2835035,359,4.0536413,359,3.9394097
"ENSG00000005339",11121,7819,42.28107,7840,40.007885,7840,38.880463
"ENSG00000005379",7663,435,3.413729,435,3.221542,435,3.130759
"ENSG00000005381",3215,2,0.03740999,2,0.035303876,2,0.03430901
"ENSG00000005421",2568,0,0,0,0,0,0
"ENSG00000005436",4843,406,5.0413885,406,4.757567,406.33334,4.627295
"ENSG00000005448",1156,345,17.94733,345,16.936928,345,16.459644
"ENSG00000005469",4222,48,0.68369377,48,0.645203,48,0.6270212
"ENSG00000005471",6124,20,0.19639635,20,0.18533958,20,0.18011671
"ENSG00000005483",7766,2746,21.263842,2753,20.117878,2753,19.550957
"ENSG00000005486",1929,345,10.755373,347,10.208704,347,9.921022
"ENSG00000005513",3049,45,0.8875517,45,0.83758414,45,0.81398106
"ENSG00000005700",6054,750,7.45002,750,7.0305967,750,6.832475
"ENSG00000005801",4571,235,3.091685,235,2.9176285,235,2.8354099
"ENSG00000005810",14887,2145,8.6648035,2145,8.17699,2145,7.946563
"ENSG00000005812",3548,542,9.186588,542,8.6694,542,8.4250965
"ENSG00000005844",5413,27,0.29996067,27,0.28307343,27,0.27509642
"ENSG00000005882",4009,571,8.565223,571.5,8.090094,571.5,7.862115
"ENSG00000005884",4889,684,8.413461,686,7.963013,686,7.7386155
"ENSG00000005889",7957,663,5.0107503,700.5,4.996112,700.5,4.8553214
"ENSG00000005893",5526,518,5.6371226,518,5.319762,518,5.169852
"ENSG00000005961",3336,33,0.59487605,33,0.5613856,33,0.5455657
"ENSG00000005981",4323,10,0.1391084,10,0.13127685,10,0.12757747
"ENSG00000006007",4376,483,6.6375594,488,6.3287196,488,6.150377
"ENSG00000006015",858,207,14.5084715,207,13.691669,207,13.305839
"ENSG00000006016",1792,12,0.4027002,12,0.38002887,12,0.36931968
"ENSG00000006025",3889,158,2.4431927,158,2.3056452,158,2.2406723
"ENSG00000006042",5127,1409,16.526705,1420,15.7180395,1420,15.275105
"ENSG00000006047",1590,46,1.7397999,46,1.6418523,46,1.5955849
"ENSG00000006059",1287,1,0.046726156,1,0.044095553,1,0.042852942
"ENSG00000006062",5187,171,1.982524,179,1.9584394,179,1.9032507
"ENSG00000006071",4936,5,0.06091629,5,0.05748681,5,0.055866834
"ENSG00000006116",3088,0,0,0,0,0,0
"ENSG00000006118",3911,586,9.010489,586,8.503215,586,8.263595
"ENSG00000006125",7101,2523,21.366646,2549.5,20.375528,2549.5,19.801346
"ENSG00000006128",1239,0,0,0,0,0,0
"ENSG00000006194",6945,704,6.0959163,704,5.752727,704,5.5906153
"ENSG00000006210",5983,101,1.0151751,101,0.95802253,101,0.9310255
"ENSG00000006282",2932,422,8.655398,422,8.168115,422,7.9379377
"ENSG00000006283",9709,237,1.4679539,237,1.3853108,237,1.3462727
"ENSG00000006327",1441,509,21.241854,509,20.045973,509,19.48108
"ENSG00000006377",2517,7,0.1672451,7,0.1578295,7,0.15338187
"ENSG00000006432",11987,270,1.3545401,270,1.2782818,270,1.2422599
"ENSG00000006451",3422,997,17.520792,1049,17.396778,1055,17.003239
"ENSG00000006453",3622,544,9.032106,544,8.523615,544,8.28342
"ENSG00000006459",9272,334,2.1662652,334,2.0443084,334,1.9866998
"ENSG00000006468",7808,79,0.60845137,79,0.57419664,79,0.55801576
"ENSG00000006530",4744,413,5.2353287,413,4.940589,413,4.8013635
"ENSG00000006534",3449,98,1.7087222,98,1.6125242,98,1.5670834
"ENSG00000006555",4439,0,0,0,0,0,0
"ENSG00000006576",6819,339,2.9896312,345,2.871255,345,2.790343
"ENSG00000006606",706,0,0,0,0,0,0
"ENSG00000006607",10486,531,3.045252,531,2.8738098,531,2.792826
"ENSG00000006611",3664,309,5.0715604,309,4.7860403,309,4.6511703
"ENSG00000006625",1597,652,24.551683,653.5,23.22277,653.5,22.568354
"ENSG00000006634",3907,204,3.1399689,238,3.4570599,238,3.3596401
"ENSG00000006638",2608,14,0.32281896,14,0.30464482,14,0.29605994
"ENSG00000006652",6885,396,3.458835,396,3.2641087,396,3.172126
"ENSG00000006659",1079,0,0,0,0,0,0
"ENSG00000006695",3172,429,8.133224,429.5,7.684283,429.5,7.46774
"ENSG00000006704",6409,700,6.5682,700,6.198422,700,6.0237503
"ENSG00000006712",2144,2912,81.67802,2914,77.13263,2914,74.95903
"ENSG00000006715",6326,1097,10.42836,1102,9.886117,1102,9.607527
"ENSG00000006740",4655,292,3.7722611,292,3.5598896,292,3.4595718
"ENSG00000006744",3428,1591,27.910522,1591,26.339209,1591,25.59697
"ENSG00000006747",10238,88,0.5168995,89,0.49334216,89,0.4794398
"ENSG00000006756",5159,178,2.0748804,178.5,1.9635684,178.5,1.9082352
"ENSG00000006757",3441,204,3.5652015,206.5,3.4057183,209.03334,3.3503492
