"name","length","count_1","rpkm_1","count_2","rpkm_2","count_900","rpkm_900"
"total",79966602,21598941,12.505220616977073,22121207.5,12.505220616977072,22360804.533335745,12.505220616977072
"ENSG00000000003",4071,1137,12.930845,1137,12.625557,1137,12.490273
"ENSG00000000005",1339,132,4.5641603,132,4.4564037,132,4.4086533
"ENSG00000000419",1185,374,14.612374,375,14.305534,375,14.15225
"ENSG00000000457",6794,444,3.0256937,444,2.9542592,444,2.922604
"ENSG00000000460",4848,369,3.5239627,369,3.4407644,369,3.4038963
"ENSG00000000938",3167,5,0.07309531,5,0.07136957,5,0.070604846
"ENSG00000000971",4376,239,2.5286465,245,2.5309289,245,2.50381
"ENSG00000001036",2793,581,9.63103,581,9.403648,581,9.302888
"ENSG00000001084",5758,357,2.8705432,357,2.8027718,357,2.77274
"ENSG00000001167",3811,2995,36.385254,3000,35.585533,3000,35.20423
"ENSG00000001460",3648,141,1.7895005,141,1.7472516,141,1.7285297
"ENSG00000001461",8619,2504,13.450703,2504,13.1331415,2504,12.992419
"ENSG00000001497",2828,729,11.934814,729,11.653042,729,11.528178
"ENSG00000001561",4651,75,0.7465905,75,0.72896403,75,0.72115314
"ENSG00000001617",4456,123,1.2779901,123,1.2478176,123,1.2344471
"ENSG00000001626",6738,40,0.2748505,42,0.28177953,42,0.27876025
"ENSG00000001629",6136,1458,11.001191,1460,10.756195,1460,10.640942
"ENSG00000001630",3838,1814,21.882647,1951.5,22.985542,1972.8334,22.987831
"ENSG00000001631",5140,1134,10.214509,1134,9.9733515,1134,9.866487
"ENSG00000002016",3739,232,2.8727648,232,2.8049407,232,2.7748857
"ENSG00000002330",1530,660,19.971931,660,19.500406,660,19.29146
"ENSG00000002549",2213,665,13.912583,672,13.727107,672,13.580021
"ENSG00000002586",2266,5370,109.71902,5381,107.348076,5381,106.19784
"ENSG00000002587",8166,188,1.0658989,188,1.0407338,188,1.0295823
"ENSG00000002726",3685,0,0,0,0,0,0
"ENSG00000002745",3261,64,0.90865016,64,0.88719755,64,0.8776912
"ENSG00000002746",9599,51,0.24598676,51,0.24017918,51,0.23760565
"ENSG00000002822",4946,930,8.705553,938,8.573139,938,8.481278
"ENSG00000002834",6024,9369,72.00718,9460,70.99003,9460,70.22936
"ENSG00000002919",2969,132,2.058407,132,2.0098095,132,1.9882743
"ENSG00000002933",1668,37,1.0270065,37,1.0027597,37,0.992015
"ENSG00000003056",3438,2118,28.522503,2359,31.01796,2359,30.685602
"ENSG00000003096",6983,23,0.1524942,23,0.14889392,23,0.14729851
"ENSG00000003137",5015,23,0.21233639,23,0.20732328,23,0.2051018
"ENSG00000003147",3511,153,2.0175679,153,1.9699345,153,1.9488266
"ENSG00000003249",3261,56,0.7950689,56,0.77629787,56,0.7679798
"ENSG00000003393",8220,1025,5.7732396,1025,5.6369376,1025,5.5765376
"ENSG00000003400",6688,211,1.4606755,211,1.4261899,211,1.4109082
"ENSG00000003402",21429,584,1.261765,597.5,1.2604545,600.4667,1.25314
"ENSG00000003436",4719,2376,23.311167,2376,22.760805,2376.2856,22.51963
"ENSG00000003509",2399,349,6.7353897,349,6.5763717,349,6.5059056
"ENSG00000003756",5511,4954,41.619144,4962,40.702168,4968,40.314728
"ENSG00000003987",4353,98,1.0423293,98,1.0177206,98,1.0068157
